#{"t_start": 1710743992.3701005, "env_id": "None"}
r,l,t,out_of_lane,exceed_max_rot,distance,agent_done
115.43673,199,36.508582,True,False,7.751177261209773,False
231.49283,253,44.930215,False,True,9.179298684186337,False
245.99782,319,55.584659,False,True,11.67418037861196,False
220.88101,319,55.58475,True,False,12.358938875835813,False
355.09024,377,64.653114,False,True,13.789577618547609,False
248.3669,260,84.916005,False,True,9.893534355098225,False
186.14325,299,100.518788,True,False,11.17184200253509,False
331.07852,363,110.09844,False,True,13.774375971524066,False
547.2614,696,112.526805,True,False,24.9618051584404,False
385.38385,563,122.633445,True,False,21.410054462848244,False
668.5943,836,134.14342,True,False,30.235097237043107,False
127.836975,147,135.537069,False,True,5.68250317739629,False
643.8595,960,153.320807,True,False,35.08785949820352,False
214.809,268,174.353062,False,True,10.002599573460781,False
337.85605,502,177.124435,True,False,18.427964183202032,False
594.007,749,178.358365,True,False,27.679527767333838,False
357.47864,448,202.522827,True,False,16.869253701498852,False
154.19798,251,214.55983,True,False,9.551824435375895,False
196.09763,294,221.928654,True,False,11.169331264675726,False
705.8168,781,240.128939,False,True,28.262832167670588,False
254.70616,333,252.408492,True,False,11.924197630070969,False
466.912,693,257.188359,True,False,25.37169768921479,False
197.29312,268,262.696774,True,False,9.830057796297659,False
194.35426,258,292.321122,False,True,9.81986987978644,False
127.282074,237,293.835702,True,False,9.386844845303507,False
530.34143,638,311.955425,True,False,23.344317020023507,False
286.75085,494,316.381846,True,False,18.696998625466563,False
321.7843,549,361.073136,True,False,20.26339515253843,False
173.87071,354,362.641605,True,False,13.645223413312777,False
1384.8922,1772,369.23274,False,True,63.954488739521395,False
1069.8375,1281,384.452272,False,True,46.518933681752934,False
570.4417,649,406.335402,False,True,23.898530953348015,False
1585.692,2110,444.644881,True,False,76.82514037779706,False
373.03873,512,445.802947,True,False,18.531285374116745,False
478.7143,695,465.950276,True,False,25.503929152997713,False
502.78937,614,476.020617,True,False,22.569824877062487,False
639.2714,1076,488.858779,True,False,39.0699606047045,False
221.56894,328,514.62352,True,False,12.119921759800208,False
212.61526,507,520.571043,True,False,19.376992367679303,False
609.0606,825,529.403472,True,False,30.413452995349058,False
298.56406,479,559.959778,True,False,18.166049691468526,False
445.5619,578,562.202554,True,False,21.577374761585595,False
315.25488,422,583.953482,True,False,15.658711988674012,False
861.67993,1016,597.766979,True,False,37.35717541496992,False
612.6139,642,611.568092,False,True,23.538439032546112,False
340.86273,494,636.829442,True,False,18.327951209903667,False
711.08246,2367,700.395012,False,True,86.20907546307559,False
664.2126,733,708.33382,False,True,27.12678014923778,False
748.2242,900,784.114845,True,False,32.178620498352885,False
843.89886,1535,803.136727,True,False,55.18196260992212,False
1888.8468,2878,806.863795,True,False,104.51519465199986,False
615.70764,759,820.190828,True,False,27.629385829374076,False
190.68828,359,859.735241,True,False,14.010457613535921,False
1493.4717,2475,995.114006,True,False,89.15564751160308,False
1861.779,2460,1006.485763,True,False,89.18700922907203,False
1708.9034,2549,1175.75601,True,False,92.91989745169697,False
1038.2517,1248,1178.543385,False,True,45.939680800232374,False
1753.2057,2502,1205.212092,True,False,90.16257823149557,False
1344.4857,2423,1233.742804,True,False,87.99545672088806,False
4092.926,5570,1399.497442,False,False,199.45758861615016,True
1249.6035,1483,1439.094411,True,False,53.89836390292796,False
3759.66,5518,1545.539284,True,False,198.56064863744686,False
2116.526,2718,1609.008508,True,False,97.66164094693976,False
4258.7954,5380,1643.431408,False,True,195.1412915281836,False
4887.6064,5529,1851.106816,False,False,198.75197032444856,True
5081.4663,5510,2035.403106,False,False,198.89790581417216,True
5148.318,5558,2098.91275,False,False,198.96471816329006,True
