#{"t_start": 1710730741.883126, "env_id": "None"}
r,l,t,out_of_lane,exceed_max_rot,distance,agent_done
0.8651632,4,3.118047,False,True,4.343941807656277,False
3.6006336,7,3.908667,False,True,5.787828157637003,False
1.6643128,4,4.41374,False,True,3.8707777037963,False
6.860615,10,5.076265,False,True,6.9665313760395104,False
8.043804,11,5.62217,False,True,6.079996195581401,False
8.650382,14,8.511469,False,True,10.68288512013397,False
1.099314,4,9.039215,False,True,3.871435668818494,False
11.168026,15,9.039293,False,True,10.700049344906345,False
12.066238,16,9.521321,False,True,10.807031525697784,False
14.182417,18,10.211075,False,True,12.702298811832744,False
6.2918987,9,10.735012,False,True,6.388513370379923,False
1.6840105,4,10.735102,False,True,3.5417261885228513,False
2.1981988,5,11.379496,False,True,4.367902758547247,False
0.63066447,3,11.903396,False,True,2.7902252672596193,False
5.8437433,10,12.602782,False,True,7.446025264132755,False
13.596597,17,13.107383,False,True,12.204048922940238,False
4.238995,7,13.661672,False,True,6.268236565271782,False
14.661559,19,13.661754,False,True,13.187030794328997,False
2.4373949,5,14.502107,False,True,4.222471934983359,False
1.4996564,4,15.575569,False,True,4.208124723232126,False
5.109593,9,16.099939,False,True,7.17300297310482,False
5.4566674,9,16.638628,False,True,6.990567793195578,False
6.3460984,9,16.638713,False,True,5.795095034180058,False
11.336945,19,17.321374,True,False,16.469188441905217,False
6.3560843,9,18.447781,False,True,6.717172354205738,False
11.892611,21,18.923275,True,True,15.05530601589423,False
9.413635,13,20.020914,False,True,9.294971539964642,False
26.173477,37,20.999998,False,True,24.63717259654628,False
12.53446,18,21.4955,False,True,12.406270387282913,False
7.609908,11,22.069328,False,True,9.564994872900833,False
9.346871,12,22.069413,False,True,10.001159634530156,False
11.224892,21,22.583838,True,True,16.363419870207565,False
0.29420102,3,23.391329,False,True,3.461596912900913,False
16.657316,22,23.894615,False,True,14.122794832557616,False
4.421244,7,24.589618,False,True,4.544143313622601,False
8.386045,13,24.589711,False,True,8.45208282101979,False
36.22645,45,25.731984,False,True,27.8573284764757,False
11.423464,16,26.424685,False,True,15.30218880045736,False
10.918832,15,26.424773,False,True,13.055138615184832,False
3.6101284,11,27.377609,True,True,8.315136647139532,False
11.158992,14,27.856181,False,True,7.44751434369947,False
15.021679,21,28.482131,False,True,19.268838422337527,False
8.217358,12,29.683826,False,True,10.204592387824297,False
12.865357,20,30.296355,False,True,12.57848045106615,False
5.382508,8,30.296438,False,True,5.034761906994336,False
5.331063,11,30.911783,False,True,9.203698840166387,False
7.587468,12,31.96482,False,True,7.797309394681081,False
3.5148025,6,31.964912,False,True,5.110636878480779,False
21.42976,30,32.543058,True,False,20.429711126637578,False
2.660473,5,32.543144,False,True,2.5470440723743297,False
2.5067947,5,33.600213,False,True,3.8233079901849596,False
0.99949753,4,33.600306,False,True,3.4922255469071595,False
9.09264,15,34.391332,False,True,10.985553519336879,False
1.996114,5,35.112811,False,True,4.344181540304891,False
24.768824,32,35.701744,False,True,15.541769831326523,False
9.774726,17,35.701833,False,True,11.1027154879386,False
6.732667,11,36.181156,False,True,7.521654939841139,False
2.5335424,5,36.663099,False,True,2.979312135411985,False
1.6025188,4,37.330913,False,True,3.0801850961474515,False
13.734537,17,37.960977,False,True,11.33647336242634,False
24.575043,37,38.520391,True,True,21.474574749596837,False
0.6882739,3,38.520483,False,True,2.54645675767728,False
7.2452555,13,39.818271,False,True,10.400304918237927,False
5.131793,9,40.684099,False,True,6.078078223116413,False
7.6174984,12,41.486706,False,True,8.557050794596936,False
12.48162,16,42.32365,False,True,11.014082843418233,False
2.1880727,5,43.033602,False,True,3.8366816184664496,False
4.367563,10,43.675953,False,True,5.545588025588765,False
19.166996,27,44.287473,True,True,19.161990346360543,False
2.6933064,5,44.789894,False,True,2.4838781515106896,False
12.691291,17,45.338943,False,True,11.321156048856459,False
16.73235,28,45.339036,False,True,20.88595699572075,False
2.7271745,5,46.242988,False,True,3.4414643373691787,False
34.797653,40,46.760772,False,True,27.37960704642028,False
1.1680748,4,46.760854,False,True,3.7414212784252943,False
2.4634395,7,47.584056,False,True,4.883967316200945,False
2.731736,6,48.226648,False,True,5.690847503260623,False
33.75712,42,48.955,False,True,28.708153970409064,False
5.7267356,8,49.440218,False,True,3.7818898310637183,False
5.0681553,10,50.5757,False,True,7.129348964158803,False
3.637557,7,51.140468,False,True,6.465486470206619,False
11.447232,16,51.808795,False,True,9.804632371896593,False
8.01083,11,52.621399,False,True,8.868153522844366,False
11.921159,15,53.098692,False,True,9.108352863775554,False
5.396449,9,53.780092,False,True,7.351563768352741,False
23.503801,28,54.29474,False,True,18.529514977451004,False
4.9471703,8,54.793431,False,True,7.5789200570022075,False
6.645815,14,55.863752,True,False,7.68868424368169,False
4.7319303,13,57.398572,True,False,9.87546016679482,False
23.801523,43,57.398655,True,False,27.868082084824778,False
13.083991,17,58.006472,False,True,11.120023890995311,False
16.827595,21,58.824809,False,True,12.553413919524122,False
14.2003145,18,59.334448,False,True,14.024272852389926,False
38.591923,55,60.078312,False,True,38.44312753702412,False
0.71784115,3,60.078384,False,True,3.290575387520794,False
12.860524,16,60.627298,False,True,9.732414320162729,False
16.283749,21,61.167973,False,True,15.414225469627873,False
1.5539272,4,61.168046,False,True,3.5363659295291483,False
2.201487,5,61.995556,False,True,2.675429088484833,False
2.3126898,5,62.541446,False,True,4.519156407070533,False
9.828239,13,63.010144,False,True,7.848854305726477,False
10.506883,19,64.034341,True,False,13.741629248267216,False
9.986429,19,64.034414,False,True,15.208299670844351,False
9.825009,13,65.053489,False,True,11.333758462592291,False
6.3367014,13,65.053563,False,True,9.077156662304409,False
10.002695,17,65.710805,False,True,13.47066212057427,False
9.344064,12,66.259274,False,True,6.654391044023234,False
7.903246,12,66.739076,False,True,7.258814178581126,False
4.6012497,8,67.719216,False,True,6.280369318689965,False
17.039534,20,68.429099,False,True,11.686630133241014,False
11.024167,14,68.429171,False,True,7.075621116673236,False
5.2791796,8,68.968803,False,True,6.6675246103191865,False
11.078359,16,69.491456,False,True,10.441503190278716,False
2.7228165,5,70.020931,False,True,3.6017905855640873,False
7.80138,12,70.506017,False,True,9.248415201207173,False
-0.2774492,2,71.036156,False,True,2.2211982770549445,False
1.0116446,4,71.803091,False,True,3.521645634452027,False
19.926329,24,73.169577,False,True,15.951085344185634,False
8.566155,14,73.760785,False,True,9.848743825591725,False
7.3983784,10,73.760858,False,True,6.58053749414893,False
5.260738,8,74.26737,False,True,6.231960888190614,False
11.158298,18,74.924799,False,True,10.37125198066885,False
