#{"t_start": 1710734647.4258828, "env_id": "None"}
r,l,t,out_of_lane,exceed_max_rot,distance,agent_done
0.97125256,4,116.878282,False,True,3.3462234977194862,False
14.179744,18,118.024954,False,True,10.724036527847101,False
3.1613178,7,119.66913,False,True,6.742036144817364,False
15.428833,20,121.375586,False,True,11.953467959500063,False
31.193623,46,121.37566,True,False,29.255188395891324,False
7.446871,12,122.56466,False,True,8.549679334740517,False
12.58786,16,123.871311,False,True,10.611578963463087,False
11.920112,19,125.889172,False,True,15.82428334195421,False
10.842083,15,127.066917,False,True,10.402490460396912,False
6.017005,16,128.704594,True,False,11.113865906367707,False
34.57863,48,130.162651,False,True,27.983788431555592,False
16.632833,25,130.162729,False,True,16.785383319350178,False
5.412956,8,130.162742,False,True,5.755451546571458,False
1.7380669,4,131.416091,False,True,3.3393201615959796,False
1.4709945,4,132.970775,False,True,3.248691665102349,False
9.225661,12,134.155172,False,True,7.899267927286849,False
0.5770284,3,135.554594,False,True,2.258051310847616,False
19.21329,27,135.554668,False,True,17.900289279928224,False
0.6815319,3,136.881999,False,True,2.785743281562043,False
24.108624,29,137.772129,False,True,18.709374647721113,False
4.7784467,8,139.10225,False,True,4.330400517444796,False
15.034885,19,140.400821,False,True,12.951782244868294,False
17.174038,23,142.799113,False,True,14.162938348275494,False
5.1536508,8,142.799191,False,True,6.587774784716577,False
18.578358,26,143.764343,False,True,18.94038699971356,False
16.337317,24,144.768678,True,True,14.528769475684923,False
16.905336,21,147.171621,False,True,11.357914680996931,False
7.2535114,10,148.21454,False,True,7.325799966671246,False
6.415022,12,149.379435,False,True,9.201931262021994,False
2.1632087,5,151.359374,False,True,3.2817854162813593,False
20.970133,25,152.598785,False,True,19.506648343235945,False
12.7091255,34,153.753472,True,False,23.111469816974616,False
3.9263172,12,154.704017,True,False,6.818517815161132,False
7.2074842,14,155.778858,False,True,8.230966469167571,False
15.441647,22,155.778928,False,True,13.375917383663372,False
2.7954166,6,157.555833,False,True,4.375378128228432,False
8.690823,13,159.570125,False,True,7.334814726081078,False
10.059458,14,161.291704,False,True,9.999629582125324,False
16.639101,22,162.664681,False,True,17.375760271836672,False
32.97695,39,164.162191,False,True,23.31520710009945,False
71.53642,84,165.965387,False,True,51.276600157731714,False
5.5527964,8,167.68634,False,True,4.5356578477177445,False
16.022654,19,168.486052,False,True,10.81574456143789,False
2.4469316,5,168.486127,False,True,4.2912231056488395,False
19.950981,25,169.31344,False,True,15.499750452901779,False
5.019798,16,170.904243,True,True,9.771117604729632,False
1.5424125,4,170.904323,False,True,2.9262844817258427,False
28.304792,33,171.862755,False,True,21.235432762013613,False
28.958626,34,172.759288,False,True,22.838690929712257,False
1.7141285,4,174.597596,False,True,3.2340437170829786,False
27.217855,31,176.763551,False,True,18.152658405720352,False
7.8449335,14,178.120778,False,True,7.944716266770771,False
16.315226,20,179.120795,False,True,12.154462993731427,False
-0.13073224,2,179.97622,False,True,1.8819312190488167,False
12.50831,23,182.810946,True,False,12.505505335274357,False
6.4835515,10,184.106846,False,True,6.77987443362207,False
6.9035387,10,185.256236,False,True,6.160646954053317,False
25.776415,30,185.25631,False,True,21.068047996031652,False
17.233938,21,186.283129,False,True,15.929469063944774,False
25.454287,33,187.888943,False,True,18.467918010084542,False
1.8664105,5,188.850881,False,True,4.420655432518957,False
3.363083,7,190.498237,False,True,4.949791778305441,False
14.262439,22,190.498319,False,True,12.978212246365754,False
6.4642506,11,192.003419,False,True,8.608584170458213,False
2.96581,6,192.003496,False,True,5.152466310130527,False
12.369654,16,192.991432,False,True,11.996784102542456,False
6.3728123,10,194.001261,False,True,7.541393102477778,False
4.1426086,8,196.012534,False,True,4.678127697243344,False
7.1302385,12,196.963012,False,True,8.301160323319168,False
19.904314,25,198.665421,False,True,16.019936501186738,False
17.872839,54,200.601151,True,False,32.11360143380831,False
12.801159,16,201.344825,False,True,10.723006567687577,False
19.200935,23,202.075193,False,True,14.284478790390752,False
4.1428924,12,204.362235,True,False,8.105597402558587,False
2.219202,5,204.362313,False,True,4.661004223045655,False
10.373751,16,204.362326,False,True,9.602012386732001,False
15.921026,22,206.682176,False,True,16.803048881484635,False
3.6672873,10,208.963092,True,False,7.201614802714058,False
7.5263977,10,208.963179,False,True,6.421475543648856,False
21.549206,36,209.983602,True,False,19.21387273914684,False
4.4587417,7,210.959531,False,True,4.305467938416564,False
24.83348,36,211.867706,True,False,25.31151526889885,False
12.983716,22,213.161746,True,False,19.227781898279616,False
18.680841,23,214.360241,False,True,13.067417436779012,False
14.319407,19,215.551051,False,True,13.960634801620902,False
1.6892686,4,217.479317,False,True,3.3388282263628875,False
8.381436,12,218.890009,False,True,7.2679515770890815,False
11.651996,15,218.890089,False,True,10.454309220533574,False
6.420331,9,219.810379,False,True,4.957031408905807,False
14.980133,22,222.366271,False,True,18.32086979798949,False
17.585253,26,223.958621,False,True,15.958869678221621,False
-0.4300065,2,225.216564,False,True,2.6879519968733128,False
13.353798,17,226.808525,False,True,11.784710586592535,False
15.06613,19,227.761941,False,True,10.445385861466287,False
12.529288,35,228.811725,False,True,20.965563332583336,False
2.207749,5,230.206208,False,True,4.27810800542569,False
10.251868,27,231.412889,True,False,20.393131485263105,False
4.885143,13,232.409985,True,False,10.05189533974401,False
24.199696,29,233.854773,False,True,19.59183993279758,False
11.679272,16,237.011965,False,True,10.231316042598651,False
37.239227,51,238.159529,True,False,27.059894722247474,False
28.021093,33,239.050859,False,True,21.91738068687731,False
17.353323,21,241.064396,False,True,10.81860842574875,False
13.027814,17,241.064478,False,True,11.739376059939145,False
1.2864699,4,241.064493,False,True,3.503318453288746,False
16.953718,28,242.202024,False,True,17.429451736440534,False
0.7732296,3,243.200056,False,True,2.894526401212704,False
16.14434,26,244.603113,True,False,11.24284718670205,False
25.215895,35,245.573142,False,True,20.74422989589341,False
8.443835,11,247.197496,False,True,5.35222981334292,False
0.67864597,3,247.197573,False,True,2.8949295318613757,False
7.428591,10,248.112494,False,True,5.27534380084546,False
7.745509,13,249.869187,False,True,7.205899388439659,False
18.607985,26,251.27898,False,True,13.648486160843389,False
7.1500683,14,252.612867,True,False,11.937245819766597,False
8.406738,11,253.587478,False,True,6.390027321953334,False
9.281259,12,254.796076,False,True,8.054564798026625,False
21.88913,26,256.018976,False,True,16.926956183876104,False
16.993721,33,257.407049,True,False,15.694684864982976,False
8.87915,12,258.862589,False,True,9.019176311653313,False
6.6581197,9,260.264178,False,True,3.7209525396443417,False
13.056387,17,260.264258,False,True,10.90694447099107,False
3.6660523,6,261.198186,False,True,5.436123691068852,False
11.417359,14,262.062961,False,True,7.407052607427838,False
13.9483185,17,263.688173,False,True,10.295877083113325,False
3.6198006,6,263.688251,False,True,3.6781977347969477,False
18.689318,30,264.9176,True,False,17.49680150577264,False
0.67134047,4,266.273553,False,True,4.066767442183932,False
10.441643,17,268.382015,False,True,10.74370707013752,False
7.364419,10,270.022028,False,True,5.766154390760847,False
11.264559,17,270.7901,False,True,11.014948207833628,False
10.347292,14,271.791795,False,True,7.867145650449588,False
18.651901,23,273.399171,False,True,11.043706068010563,False
3.7058778,6,274.562968,False,True,4.3607724679965125,False
22.48641,34,276.0178,False,True,20.124278091417032,False
14.5205345,26,276.017904,False,True,18.2097106023735,False
5.455082,8,278.699537,False,True,5.074260111443213,False
11.6867075,17,279.855417,False,True,10.45514078830097,False
8.427157,13,280.494852,False,True,6.230121886940251,False
14.797817,21,281.450985,False,True,12.562388289322797,False
8.609076,17,282.493607,False,True,9.929084187038217,False
17.32178,26,283.474787,True,True,17.195355449603984,False
2.6165419,5,284.855818,False,True,3.438516671730827,False
7.7562294,11,287.461358,False,True,8.8073234248567,False
17.22743,20,289.167269,False,True,8.992636311172012,False
8.730396,19,290.2598,False,True,13.481693690457396,False
13.914708,17,291.079839,False,True,9.22163231233435,False
17.250193,22,291.911263,False,True,12.299360611507446,False
2.2268782,6,293.078451,False,True,2.931453745251594,False
4.0878954,7,294.555065,False,True,4.489872936751832,False
-0.1656152,2,295.886516,False,True,1.941859213879618,False
10.577981,14,297.985851,False,True,7.331739803801617,False
16.704369,28,297.985925,True,False,13.59185440029388,False
12.812562,17,299.678892,False,True,9.623271650600882,False
44.719234,59,303.108108,True,False,34.753031305057945,False
15.296465,19,305.067652,False,True,12.488787401172864,False
11.97255,16,305.979348,False,True,8.994907912510701,False
1.7630806,4,307.867381,False,True,3.8876120149828637,False
5.8095374,10,307.867483,False,True,6.154647698673966,False
29.41317,46,308.864884,False,True,25.04405123658363,False
22.701294,33,310.071215,True,False,18.410637387366293,False
6.335246,9,311.008625,False,True,5.922775743206472,False
2.5344005,5,312.061556,False,True,2.674432738943168,False
1.0326169,4,312.061633,False,True,3.7727857786597823,False
26.96385,42,313.265582,False,True,25.924897995602574,False
15.965103,33,314.467199,False,True,18.9210272335621,False
76.08712,96,315.50827,False,True,58.28056864384478,False
5.4838963,8,316.693224,False,True,5.820923086342225,False
5.283264,8,318.1036,False,True,7.345298315983767,False
0.88798416,4,318.996259,False,True,3.5355980137280145,False
6.7189455,17,319.963037,True,True,10.440453800046793,False
15.939026,20,324.261917,False,True,11.872939008555443,False
19.228516,22,325.118484,False,True,10.51878875003813,False
25.271173,30,326.871768,False,True,14.53915676125204,False
9.635589,13,329.895777,False,True,8.973604744985945,False
22.690966,43,331.314811,False,True,27.125152476130662,False
4.462134,7,333.567801,False,True,4.5353121603309505,False
37.760464,53,334.674408,False,True,22.711784302502178,False
30.059088,41,334.674498,False,True,21.31394203065899,False
7.4275475,10,337.550917,False,True,6.0956278554147305,False
7.473049,10,340.904923,False,True,5.679138807600977,False
22.643494,33,341.913337,False,True,18.152106603823594,False
56.955597,65,343.657351,False,True,32.05081712674954,False
34.474625,40,348.098886,False,True,20.91456534647786,False
19.897194,29,351.59217,False,True,16.483464639537644,False
19.632286,24,358.020271,False,True,14.36635549040265,False
82.79657,98,359.565459,False,True,56.67058692213827,False
105.67943,125,362.360477,False,True,66.84523728126291,False
60.152718,77,365.990663,True,False,47.141419661342,False
92.73051,128,368.015945,True,False,66.05902153384083,False
75.83345,92,371.077024,False,True,53.54728335517288,False
77.222244,95,374.311961,False,True,55.98941965719422,False
55.93737,72,383.879359,False,True,44.33387319765611,False
7.4326124,10,386.587079,False,True,6.636380669333885,False
104.702736,120,388.606845,False,True,70.34431005585394,False
175.7415,208,389.994897,False,True,121.03318531109353,False
70.90167,82,393.397235,False,True,52.850657609381166,False
80.15875,131,398.791365,True,False,71.79110061145084,False
45.36916,61,408.806594,False,True,29.37395022435272,False
164.59923,195,408.806713,False,True,103.546563920587,False
162.1288,181,411.58805,False,True,92.62725062419828,False
102.73042,118,430.57929,False,True,65.81489719419076,False
137.1502,158,450.76894,False,True,88.76549905185384,False
308.91098,357,453.264289,False,True,196.82494920843524,False
173.33527,232,457.671845,True,False,126.04299654254443,False
113.39875,142,469.875908,False,True,77.45522668603628,False
64.268135,72,477.764143,False,True,43.14964691182466,False
305.7779,344,484.262093,False,False,199.87905283883978,True
245.51555,290,488.661454,False,True,166.45186507939516,False
130.11674,159,495.870647,False,True,90.03441388973349,False
339.56464,397,500.673943,False,False,200.035541877064,True
318.50708,365,511.650323,False,False,199.93105312750453,True
156.41121,201,526.192138,True,False,120.19394263455789,False
107.52037,122,530.274511,False,True,69.17483971736358,False
289.63562,355,551.80622,False,False,199.89198899081595,True
221.97531,273,564.312276,True,False,156.48220649283687,False
256.69196,327,569.31361,False,True,187.7737921631369,False
256.67316,335,577.762279,False,False,198.7545087217698,True
50.875042,58,581.27051,False,True,37.1522602794901,False
227.2078,265,586.700469,True,False,156.97012030148335,False
192.4499,226,590.809891,True,False,121.90090330068612,False
279.2529,345,598.497591,False,False,199.8096567021407,True
160.71526,185,605.870273,False,True,111.72939832236162,False
269.98602,338,624.764475,False,False,198.86923885643031,True
285.5687,329,658.451115,False,False,198.81019670328405,True
272.08154,326,668.773791,False,False,198.73102213685888,True
291.48642,338,669.79263,False,False,199.54464449372563,True
275.08563,332,676.315163,False,False,199.15632983228065,True
257.66705,333,680.791997,False,False,198.85467298828348,True
283.29666,360,695.305062,False,False,199.4258740952203,True
307.08453,350,700.304761,False,False,199.66634964097923,True
34.29059,41,707.183779,False,True,24.33316016121493,False
284.461,340,717.185577,False,False,199.1162953908493,True
198.5913,236,743.076236,True,False,136.6285150205679,False
149.5818,170,744.174978,False,True,98.87390735514302,False
261.9544,327,746.285865,False,False,199.24074257209656,True
282.04984,344,756.394676,False,False,199.11259389580655,True
289.41785,345,757.144051,False,False,199.13285980753318,True
186.149,202,763.75096,False,True,117.89756783680336,False
304.3608,351,765.086749,False,False,198.49293158047072,True
304.22876,351,794.08245,False,False,198.99522756208577,True
290.17096,333,827.776544,False,False,199.18753676157473,True
295.78122,353,832.59094,False,False,200.06409346215182,True
300.7584,343,834.667446,False,False,199.62446461703223,True
294.09286,342,850.196945,False,False,198.57887949288235,True
303.82904,340,850.197062,False,False,199.80897652956054,True
275.72623,339,857.867374,False,False,198.81276492443016,True
290.09213,346,860.164164,False,False,198.75079490395086,True
285.2572,329,884.9977,False,False,198.9901416627814,True
288.85733,344,926.074734,False,False,200.05308356092283,True
318.67017,369,929.311165,False,False,198.55330596548131,True
308.0861,350,930.465851,False,False,198.8898439738827,True
306.7839,349,944.752762,False,False,198.97671552999572,True
318.94595,352,946.316914,False,False,199.914840143694,True
286.83252,344,951.95088,False,False,199.5333685262425,True
336.3587,377,962.208873,False,False,199.22193777790895,True
321.60568,361,982.788744,False,False,198.87144443861496,True
334.14676,373,1028.351959,False,False,198.89470561403,True
333.27133,368,1030.262912,False,False,199.7539880226772,True
329.04144,368,1031.306107,False,False,199.23444645892494,True
340.98962,372,1048.482319,False,False,198.59181420637256,True
321.77637,357,1050.05464,False,False,199.6675834687029,True
347.7732,381,1051.259731,False,False,198.7262003006103,True
333.09665,364,1063.087089,False,False,198.97123082349555,True
353.48306,380,1087.771583,False,False,199.097331972955,True
323.06635,353,1121.933422,False,False,199.47077437918304,True
329.71793,362,1123.625455,False,False,198.81128425312207,True
343.76257,370,1124.564696,False,False,198.62734677823755,True
327.66895,355,1136.072583,False,False,199.01844630418324,True
333.64563,359,1139.471262,False,False,199.39791280963107,True
345.62338,377,1144.284813,False,False,198.621503626716,True
333.36914,363,1152.772493,False,False,199.2469413280234,True
343.20114,374,1180.878703,False,False,198.94242446975653,True
242.79474,264,1214.900291,False,True,144.79941483223453,False
335.3339,362,1217.899327,False,False,199.06210299466298,True
331.61658,359,1220.098994,False,False,198.66288501418873,True
376.23053,403,1232.561501,False,False,198.9923953544105,True
345.92365,369,1237.893532,False,False,198.75783270343558,True
357.7741,388,1246.390568,False,False,198.59179270510393,True
325.983,357,1251.219384,False,False,199.06998890952184,True
339.97122,369,1281.854673,False,False,198.66728028158767,True
343.55682,370,1317.327427,False,False,198.65481471091636,True
348.68527,374,1320.263619,False,False,198.64487783953263,True
372.48364,399,1323.894285,False,False,198.99852457064688,True
357.26715,381,1340.192701,False,False,198.8932127565241,True
384.6759,408,1343.674062,False,False,198.55761422897234,True
345.5975,372,1346.976847,False,False,198.7523970652164,True
401.42645,427,1365.862602,False,False,199.22014480464367,True
375.1917,398,1388.874502,False,False,198.77912562443228,True
369.52603,395,1425.288177,False,False,199.09814363961337,True
378.71713,405,1433.501564,False,False,198.70148722857462,True
402.22964,426,1436.500358,False,False,198.66423874930203,True
356.57596,380,1444.303634,False,False,198.85882899245354,True
361.77,391,1450.412017,False,False,198.82242929612875,True
365.9921,400,1456.081695,False,False,199.45849514706586,True
370.73175,394,1473.672496,False,False,198.6002030660817,True
346.83685,367,1488.398456,False,False,198.79058269120532,True
404.6646,428,1520.548378,False,False,198.823083373504,True
313.90796,334,1523.639376,False,True,173.52693416035322,False
391.8758,414,1528.485479,False,False,199.1514477944303,True
403.56378,426,1530.639685,False,False,199.13487415441492,True
384.32275,412,1537.282695,False,False,198.79789992581084,True
374.16174,401,1540.303049,False,False,199.33261964651345,True
386.6335,412,1565.950961,False,False,199.23006455835582,True
379.38046,407,1580.564157,False,False,198.87230332606504,True
415.90604,439,1638.603539,False,True,197.18904200343562,False
375.8038,398,1641.863211,False,True,192.87892253586404,False
419.08704,444,1644.466886,False,True,197.5547274373912,False
420.06073,450,1650.187257,False,False,198.72440413447305,True
401.28564,427,1652.995597,False,True,196.0776783240374,False
443.01462,467,1655.584036,False,False,198.74007736513238,True
